country,latitude,longitude,sample date,nir,green,swir16,swir22,ndmi,mndwi,pet,total alkalinity,electrical conductance,dissolved reactive phosphorus,month,province,sample_year,pop_density_nn,distance_km_to_pd_cell,river_mouth,river_junction,river_mouthORjunction
South Africa,-26.861111,28.884722,2011-01-03,17658.5,9550.0,13746.5,10574.0,0.1245661518866418,-0.1801343549460211,124.1,74.72,162.9,163.0,2011-01-31,Mpumalanga,2011,5.0490217208862305,0.2515546759790773,0,0,0
South Africa,-26.45,28.085833,2011-01-03,15210.0,10720.0,17974.0,14201.0,-0.0832931533269042,-0.2528054645570494,127.5,89.254,573.0,80.0,2011-01-31,Gauteng,2011,23.239988327026367,0.4195371229710294,0,0,0
South Africa,-27.671111,27.236944,2011-01-03,14887.0,10943.0,13522.0,11403.0,0.0480481537540918,-0.1054159002656852,129.7,82.0,203.6,101.0,2011-01-31,Free State,2011,687.4657592773438,0.06995830441613617,0,0,0
South Africa,-27.356667,27.286389,2011-01-03,16828.5,9502.5,12665.5,9643.0,0.1411473520037969,-0.1426831468783826,129.2,56.1,145.1,151.0,2011-01-31,Free State,2011,6.09281063079834,0.23239556080223847,0,0,0
South Africa,-27.01011111,26.69808333,2011-01-04,12433.5,10433.5,9579.5,8531.5,0.1296506609730608,0.0426722630290309,98.6,82.2,289.8,192.0,2011-01-31,Free State,2011,77.84971618652342,0.4661833456428153,0,0,0
South Africa,-25.127778,27.628889,2011-01-04,7814.0,5189.5,6664.0,5222.0,0.0794308606161066,-0.1243936390095741,105.5,125.0,438.0,163.0,2011-01-31,North West,2011,3.4738876819610596,0.22343853018284332,0,0,0
South Africa,-25.20639,27.558,2011-01-04,14137.5,10466.5,10315.5,8536.0,0.1562998405103662,0.0072659031854489,103.700005,116.62,568.0,69.0,2011-01-31,North West,2011,6.692755699157715,0.38339570310403576,0,0,0
South Africa,-24.69514,27.40906,2011-01-04,15543.0,10647.0,11919.5,9642.5,0.1319435593991802,-0.0563888950435377,111.8,181.831,583.0,158.0,2011-01-31,Limpopo,2011,2.9507098197937007,0.25304733863162004,0,0,0
South Africa,-26.98472222,26.63227778,2011-01-04,13683.0,10207.0,14011.5,11850.5,-0.0118615609597573,-0.1570906538390067,98.200005,196.0,452.0,158.0,2011-01-31,North West,2011,7.390571594238281,0.5299072961879943,0,0,0
South Africa,-28.141944,26.417778,2011-01-04,14391.0,9840.0,13799.5,11265.0,0.020982245792022,-0.1674950823832984,93.8,94.718,227.9,132.0,2011-01-31,Free State,2011,9.564678192138672,0.4819197022938625,0,0,0
South Africa,-27.398611,26.614722,2011-01-04,15515.5,10247.0,12823.0,10403.5,0.0950120860313704,-0.111660164716081,100.9,86.8,226.3,114.0,2011-01-31,Free State,2011,216.4991912841797,0.4314840712709078,0,0,0
South Africa,-33.501667,21.624167,2011-01-04,14183.0,9801.0,13704.25,11265.25,0.02154871859009665,-0.1679009137759293,100.200005,201.0,769.0,74.0,2011-01-31,Western Cape,2011,8.959300994873047,0.47520508458402333,0,0,0
South Africa,-32.502778,19.535833,2011-01-04,17653.0,13104.0,19330.0,16984.0,-0.0453451585863774,-0.191959055312326,119.9,10.387,73.0,10.0,2011-01-31,Northern Cape,2011,0.1384314894676208,0.20468618328110755,0,0,0
South Africa,-25.45963889,28.26430556,2011-01-04,13959.0,9926.0,15156.5,12552.5,-0.0411292953924884,-0.2085318449117902,103.6,108.94,396.0,82.0,2011-01-31,Gauteng,2011,32.18928909301758,0.47633643189700464,0,0,0
South Africa,-27.495556,26.074722,2011-01-04,17937.5,11044.5,18143.5,14152.5,-0.0057093761259388,-0.2432163902973816,99.700005,67.8,218.6,91.0,2011-01-31,North West,2011,6.067789554595947,0.32388358525139704,0,0,0
South Africa,-26.648056,27.089444,2011-01-05,19310.5,9597.0,12954.5,9447.5,0.1969936463660307,-0.1488814491275518,83.5,211.0,532.0,62.0,2011-01-31,North West,2011,0.2553991675376892,0.3752994468553524,0,0,0
South Africa,-26.970278,27.211111,2011-01-05,10218.0,11040.0,7946.5,7735.0,0.1250516116601056,0.1629315566323431,82.1,71.5,248.4,117.0,2011-01-31,Free State,2011,0.2347282767295837,0.10903564877120783,0,0,0
South Africa,-27.38972222,26.46388889,2011-01-05,11481.0,11597.0,8583.0,8196.5,0.1444377990430615,0.1493557978196226,83.200005,82.14,255.5,74.0,2011-01-31,North West,2011,1.2386088371276855,0.32872558729277185,0,0,0
South Africa,-27.044444,27.005,2011-01-05,17418.5,9908.0,13987.0,10115.0,0.1092643008390246,-0.1707051684452807,82.4,83.0,220.9,85.0,2011-01-31,Free State,2011,8.480220794677734,0.28780082791421896,0,0,0
South Africa,-30.830556,26.921389,2011-01-06,5266.5,4491.0,3672.5,3764.5,0.1783197225640432,0.1002633674281852,57.0,62.099,145.0,10.0,2011-01-31,Eastern Cape,2011,9.180331230163574,0.20336203665900757,0,0,0
South Africa,-27.00222,28.76528,2011-01-06,13724.0,9691.0,13005.5,10754.5,0.0268804130268054,-0.1460357323816441,70.0,34.855,114.5,150.0,2011-01-31,Mpumalanga,2011,0.0677461996674537,0.47755518514692324,0,0,0
South Africa,-27.02314,28.59389,2011-01-06,11490.5,9969.5,10372.5,9135.0,0.0511366235191874,-0.0198112280011797,72.4,41.408,148.8,152.0,2011-01-31,Free State,2011,60.05280303955078,0.22131432446885924,0,0,0
South Africa,-30.679722,26.7125,2011-01-06,13400.0,10548.0,7764.0,7659.0,0.266301266301265,0.1520314547837475,59.8,55.297,138.3,44.0,2011-01-31,Eastern Cape,2011,108.02631378173828,0.12033870015027637,0,0,0
South Africa,-32.595833,19.009444,2011-01-06,15218.5,10334.0,14735.0,12208.5,0.0161416862804012,-0.175555466911324,52.7,8.621,63.1,19.0,2011-01-31,Western Cape,2011,927.4088134765624,0.17513715699835913,0,0,0
South Africa,-25.99136,27.84208,2011-01-10,18631.5,11771.5,16495.0,12815.0,0.0608230253512303,-0.1671059381246346,173.2,82.432,283.8,32.0,2011-01-31,Gauteng,2011,48.92479705810546,0.45752973046803463,0,0,0
South Africa,-26.73806,27.59194,2011-01-10,9089.5,9167.0,7963.0,7740.0,0.066060694912769,0.0702860478692348,179.40001,55.3,189.1,105.0,2011-01-31,Free State,2011,177.2780609130859,0.26251328893277437,0,0,0
South Africa,-26.45,28.085833,2011-01-10,15210.0,10720.0,17974.0,14201.0,-0.0832931533269042,-0.2528054645570494,172.90001,105.711,635.0,80.0,2011-01-31,Gauteng,2011,23.239988327026367,0.4195371229710294,0,0,0
South Africa,-30.86013889,29.07125,2011-01-10,14558.0,10724.5,11450.0,10000.5,0.1195016917871419,-0.0327177613925904,138.0,40.861,95.6,10.0,2011-01-31,Eastern Cape,2011,2.8208968639373775,0.34758891584585094,0,0,0
